ORDER_ID,ORDER_DATE,PRODUCT_NAME,CATEGORY,QUANTITY,UNIT_PRICE,TOTAL_AMOUNT
1,2025-10-09,Electric Stove,KITCHEN ELECTRONICS,3,52.1,156.3
2,2025-10-15,Formal Pant,CLOTHING,2,74.24,148.48
3,2025-11-10,Refrigerator,CONSUMER ELECTRONICS,3,88.24,264.72
4,2025-12-22,Coffee Maker,KITCHEN ELECTRONICS,2,48.07,96.14
5,2025-11-22,Electric Fan,CONSUMER ELECTRONICS,3,67.88,203.64
6,2025-11-15,Formal Pant,CLOTHING,3,81.01,243.03
7,2026-01-01,Cotton Shirt,CLOTHING,4,25.26,101.04
8,2026-01-02,LED Light,CONSUMER ELECTRONICS,4,33.08,132.32
9,2025-12-04,Smartphone,ELECTRONICS,1,797.73,797.73
10,2025-09-26,Coffee Maker,KITCHEN ELECTRONICS,2,53.75,107.5
11,2025-11-17,Electric Fan,CONSUMER ELECTRONICS,8,68.92,551.36
12,2025-12-02,LED Light,CONSUMER ELECTRONICS,5,49.38,246.9
13,2025-10-04,LED Light,CONSUMER ELECTRONICS,8,53.19,425.52
14,2025-12-13,Cotton Shirt,CLOTHING,5,32.82,164.1
15,2025-10-27,Cotton Shirt,CLOTHING,8,33.55,268.4
16,2025-11-08,Cotton Shirt,CLOTHING,7,20.6,144.2
17,2025-11-09,Smart Watch,ELECTRONICS,4,186.33,745.32
18,2025-12-19,Blender,KITCHEN ELECTRONICS,4,42.42,169.68
19,2025-11-30,Smart Watch,ELECTRONICS,4,191.44,765.76
20,2025-12-18,Smartphone,ELECTRONICS,4,826.64,3306.56
21,2025-12-24,Formal Pant,CLOTHING,2,91.12,182.24
22,2025-12-22,Electric Fan,CONSUMER ELECTRONICS,2,60.26,120.52
23,2025-12-17,Hoodie,CLOTHING,2,88.1,176.2
24,2025-12-24,Hoodie,CLOTHING,7,77.24,540.68
25,2025-11-29,Electric Stove,KITCHEN ELECTRONICS,3,95.72,287.16
26,2025-10-22,Coffee Maker,KITCHEN ELECTRONICS,2,45.27,90.54
27,2025-12-07,Formal Pant,CLOTHING,3,95.8,287.4
28,2025-09-29,Formal Pant,CLOTHING,4,64.7,258.8
29,2025-12-23,Smartphone,ELECTRONICS,7,821.79,5752.53
30,2026-01-04,Refrigerator,CONSUMER ELECTRONICS,6,137.2,823.2
31,2025-11-24,LED Light,CONSUMER ELECTRONICS,4,56.84,227.36
32,2025-10-11,Denim Jeans,CLOTHING,2,56.8,113.6
33,2025-12-22,Smartphone,ELECTRONICS,1,769.06,769.06
34,2025-11-14,LED Light,CONSUMER ELECTRONICS,1,73.11,73.11
35,2025-10-19,Electric Stove,KITCHEN ELECTRONICS,6,57.6,345.6
36,2025-09-27,Smartphone,ELECTRONICS,3,670.81,2012.43
37,2025-10-12,Cotton Shirt,CLOTHING,5,46.24,231.2
38,2025-10-21,TWS,ELECTRONICS,2,54.08,108.16
39,2025-12-16,LED Light,CONSUMER ELECTRONICS,6,50.61,303.66
40,2025-10-27,LED Light,CONSUMER ELECTRONICS,1,65.99,65.99
41,2025-11-08,Blender,KITCHEN ELECTRONICS,3,39.07,117.21
42,2025-10-23,Formal Pant,CLOTHING,5,81.79,408.95
43,2025-10-13,Blender,KITCHEN ELECTRONICS,3,42.05,126.15
44,2025-12-21,Formal Pant,CLOTHING,1,96.57,96.57
45,2025-11-13,Refrigerator,CONSUMER ELECTRONICS,7,127.21,890.47
46,2025-12-04,Cotton Shirt,CLOTHING,5,42.73,213.65
47,2025-10-01,Smart Watch,ELECTRONICS,8,165.25,1322.0
48,2025-12-14,TWS,ELECTRONICS,3,89.91,269.73
49,2025-11-01,Refrigerator,CONSUMER ELECTRONICS,2,153.4,306.8
50,2025-12-25,Denim Jeans,CLOTHING,2,45.04,90.08
51,2025-10-11,LED Light,CONSUMER ELECTRONICS,8,64.81,518.48
52,2025-11-09,Smartphone,ELECTRONICS,8,861.16,6889.28
53,2025-10-24,TWS,ELECTRONICS,7,88.27,617.89
54,2025-11-23,TWS,ELECTRONICS,1,57.51,57.51
55,2025-11-01,Smartphone,ELECTRONICS,6,829.41,4976.46
56,2025-12-03,Refrigerator,CONSUMER ELECTRONICS,5,91.63,458.15
57,2025-10-29,Electric Stove,KITCHEN ELECTRONICS,1,90.16,90.16
58,2025-11-09,Denim Jeans,CLOTHING,2,55.42,110.84
59,2025-10-14,Formal Pant,CLOTHING,4,67.88,271.52
60,2025-12-23,Blender,KITCHEN ELECTRONICS,1,47.73,47.73
